"expression","run_id","timestamp_utc","run_context","machine_label","git_sha","git_ref","r_version","system","system_release","cpu_model","median_sec","itr_sec","mem_alloc_bytes","gc_sec"
"anon_auto_nlp_core","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",1.89865818608087,0.522375635766213,731256,1.04475127153243
"anon_data_frame_approx","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",1.19759237510152,0.836099865806196,2042448,0
"anon_data_frame_exact","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",0.0860025840811431,11.5614225562404,414264,0
"anon_nested_mixed","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",0.981205731048249,1.01560206584433,16324928,3.046806197533
"anon_nested_option_auto_nlp","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",0.867941981065087,1.15304479071142,2784704,0.768696527140945
"anon_nlp_entities_people_org_place","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",1.90219768614043,0.520453943602637,736000,1.04090788720527
"anon_starwars_exact","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",0.555712394067086,1.77110487251,22158768,5.31331461752999
"anon_starwars_mixed","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",1.37810430012178,0.723799282201073,45219536,4.5840621206068
"anon_vector_approx","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",1.02784753707238,0.972458195500188,2263952,0
"anon_vector_exact","20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor",0.0677116140723228,14.6082264108078,2606408,0
